Agency,ErrorStrike,SemiMajor90,SemiMinor90,cluster_flag,cluster_index,comment,day,depth,depthError,eventID,flag,hour,latitude,longitude,magnitude,magnitudeType,minute,month,second,sigmaMagnitude,timeError,year
EMEC,,,,0,0,,14,999.0,,3077,,1,30.0,31.199999999999999,4.4000000000000004,MW,1,6,1.0,0.0,,1483
EMEC,,,,0,0,,29,999.0,,3080,,1,36.200000000000003,37.200000000000003,4.7999999999999998,MW,1,3,1.0,0.0,,1484
EMEC,,,,0,0,,24,999.0,,3089,,17,34.899999999999999,33.399999999999999,6.5,MW,1,4,1.0,0.0,,1491
EMEC,,,,0,0,,18,999.0,,3100,,1,30.0,31.199999999999999,4.7999999999999998,MW,1,9,1.0,0.0,,1498
EMEC,,,,0,0,,1,14.0,,3146,,1,37.5,36.5,7.5,MW,1,1,1.0,0.0,,1513
EMEC,,,,0,0,,14,999.0,,3217,,11,32.0,35.299999999999997,6.0999999999999996,MW,1,1,1.0,0.0,,1546
EMEC,,,,0,0,,25,999.0,,3263,,1,34.5,33.0,5.2999999999999998,MW,1,4,1.0,0.0,,1567
SHARE,,,,0,0,,7,999.0,,71381,,0,34.649999999999999,33.049999999999997,5.4000000000000004,MW,0,10,0.0,0.0,,1567
SHARE,,,,0,0,,1,999.0,,71382,,0,34.75,32.399999999999999,5.4000000000000004,MW,0,12,0.0,0.0,,1567
SBEI,,,,0,0,,10,12.0,,70730,,1,35.5,35.5,6.0999999999999996,MS,1,10,1.0,0.17000000000000001,,1568
EMEC,,,,0,0,,28,999.0,,3302,,1,34.5,33.0,5.7999999999999998,MW,1,1,1.0,0.0,,1577
AM06,,,,0,0,,4,999.0,,52,,1,29.0,36.0,7.0,MS,1,1,1.0,0.20000000000000001,,1588
EMEC,,,,0,0,,7,999.0,,3339,,6,29.399999999999999,31.600000000000001,5.2000000000000002,MW,1,4,1.0,0.0,,1588
SBEI,,,,0,0,,21,20.0,,70731,,1,36.5,37.100000000000001,7.2999999999999998,MW,1,1,1.0,0.0,,1626
EMEC,,,,0,0,,1,999.0,,3608,,1,34.899999999999999,36.200000000000003,6.7000000000000002,MW,1,2,1.0,0.0,,1656
SBEI,,,,0,0,,24,35.0,,70733,,1,33.700000000000003,36.600000000000001,6.9000000000000004,MW,1,11,1.0,0.0,,1705
